branch,marks_10th,marks_12th,gender,board_10th,board_12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events
ECE,86.55,79.1,Male,CBSE,CBSE,GEN,7.18,30080.0,10.694107142857142,7.125,0.0,0.0,6.88,6.82,6.955,7.63,7.5,4.0,2.0,2.0,3.0,0.0,0.0
CIVIL,77.57,64.6,Male,BSEB,BSEB,OBC,6.29,44718.0,15.970714285714285,6.02,0.0,4.0,6.12,5.94,5.41,6.25,6.13,1.0,4.0,3.0,2.0,0.0,5.0
CSE,86.4,71.8,Male,CBSE,CBSE,GEN,6.47,24222.0,8.650714285714285,6.1,0.0,5.0,6.12,5.88,5.53,6.44,6.19,2.0,2.0,0.0,1.0,0.0,4.0
CSE,88.14,78.0,Male,ICSE,ICSE,GEN,7.35,24723.0,8.829642857142858,6.65,0.0,1.0,6.35,6.54,6.41,6.5,6.69,1.0,1.0,3.0,0.0,0.0,5.0
CSE,65.4,59.8,Female,CBSE,CBSE,ST,6.41,67610.375,23.851026785714282,6.09,0.0,5.0,6.0,5.71,5.24,5.88,6.25,2.0,0.0,2.0,2.0,0.0,1.0
CSE,81.0,74.0,Male,CBSE,CBSE,GEN,6.8,23252.0,8.304285714285715,6.13,0.0,0.0,6.06,5.88,6.0,5.93,5.44,2.0,0.0,2.0,2.0,0.0,1.0
ECE,74.4,82.0,Male,BSEB,CBSE,GEN,6.88,23257.0,8.306071428571428,6.35,0.0,4.0,6.71,6.35,5.94,5.88,4.896250000000002,2.0,0.0,1.0,0.0,2.0,3.0
ECE,83.8,73.0,Female,CBSE,CBSE,SC,7.24,67610.375,23.851026785714282,6.69,0.0,0.0,6.53,6.29,6.12,7.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0
ECE,82.0,78.0,Male,BSEB,BSEB,GEN,7.0,23010.0,8.217857142857143,6.66,0.0,0.0,7.59,6.35,6.35,6.0,5.5,3.0,2.0,1.0,2.0,1.0,0.0
EEE,62.4,60.8,Male,BSEB,BSEB,OBC,5.83,67610.375,23.851026785714282,6.0,0.0,5.0,6.31,6.13,6.06,5.69,6.0,3.0,2.0,1.0,2.0,1.0,0.0
EEE,80.2,63.0,Male,CBSE,CBSE,OBC,6.48,67610.375,23.851026785714282,6.12,0.0,0.0,6.3,5.61,6.2,6.03,5.38,4.0,2.0,2.0,4.0,0.0,5.0
EEE,89.6,80.2,Male,CBSE,CBSE,GEN,6.53,29445.0,10.51607142857143,6.23,0.0,1.0,6.35,6.36,6.41,5.5,5.69,6.0,3.0,3.0,6.0,0.0,5.0
EEE,90.4,65.4,Male,CBSE,CBSE,GEN,6.65,28051.0,10.018214285714286,6.27,0.0,5.0,6.0,6.59,6.12,5.88,6.38,5.0,1.0,4.0,5.0,0.0,5.0
IT,71.2,60.02,Female,CBSE,CBSE,GEN,6.1,37593.0,13.42607142857143,6.6,0.0,5.0,6.3,6.7,5.5,6.9,7.5,8.0,4.0,4.0,6.0,2.0,5.0
MECH,85.0,64.0,Male,ICSE,CBSE,GEN,6.83,40107.0,14.32392857142857,6.49,0.0,4.0,6.18,6.42,6.53,6.5,7.0,7.0,1.0,6.0,3.0,2.5,0.0
MECH,61.0,60.2,Male,BSEB,BSEB,OBC,6.0,50226.0,17.937857142857144,5.89,0.0,0.0,5.94,6.0,6.0,6.13,6.5,4.0,3.0,1.0,1.0,2.5,0.0
MECH,74.4,74.4,Male,BSEB,BSEB,OBC,6.67,32906.0,11.752142857142857,6.96,0.0,2.0,6.76,6.41,6.18,7.13,6.94,1.0,1.0,0.0,0.0,0.0,5.0
MECH,79.0,73.2,Male,ICSE,ICSE,GEN,6.41,17835.0,6.369642857142857,6.57,0.0,5.0,6.53,6.54,6.65,7.19,6.81,1.0,0.0,1.0,1.0,0.0,0.0
CIVIL,71.6,70.8,Male,BSEB,BSEB,GEN,6.53,40690.0,14.532142857142857,6.37,0.0,5.0,6.12,7.12,6.7,6.13,5.625,2.0,2.0,0.0,2.0,0.0,5.0
CIVIL,62.5,67.0,Male,UP Board,UP Board,OBC,6.71,35787.0,12.781071428571428,6.95,0.0,5.0,6.94,6.82,6.76,7.31,7.19,1.0,0.0,1.0,1.0,0.0,0.0
CIVIL,83.34,73.8,Male,ICSE,CBSE,OBC,7.35,41598.0,14.856428571428571,7.09,0.0,0.0,7.0,6.94,7.0,7.19,7.44,6.0,3.0,3.0,4.0,2.0,5.0
CIVIL,77.43,76.0,Male,BSEB,CBSE,GEN,6.53,22373.0,7.9903571428571425,6.66,0.0,4.0,5.77,6.06,6.59,7.31,7.81,0.0,0.0,0.0,0.0,0.0,0.0
CIVIL,70.86,63.67,Male,BSEB,BSEB,SC,6.94,67610.375,23.851026785714282,7.19,0.0,0.0,6.47,6.65,7.41,7.88,7.75,5.0,2.0,3.0,3.0,2.0,0.0
CIVIL,88.6,71.8,Male,CBSE,CBSE,OBC,6.29,59417.0,21.220357142857143,6.71,0.0,0.0,6.53,6.24,7.18,7.25,7.06,0.0,0.0,0.0,0.0,0.0,5.0
CIVIL,85.8,60.1,Male,CBSE,CBSE,OBC,6.52,37323.0,13.329642857142858,6.44,0.0,5.0,6.65,6.05,6.65,6.56,6.13,0.0,0.0,0.0,0.0,0.0,5.0
CIVIL,67.0,61.0,Male,BSEB,BSEB,SC,6.05,67610.375,23.851026785714282,6.64,0.0,5.0,6.35,6.17,6.65,7.69,6.94,1.0,0.0,1.0,0.0,1.0,0.0
CIVIL,84.6,78.4,Male,CBSE,CBSE,GEN,7.18,25038.0,8.942142857142857,7.52,0.0,1.0,6.94,7.35,7.47,8.31,7.94,4.0,1.0,3.0,4.0,0.0,5.0
CIVIL,88.0,81.5,Male,ICSE,ICSE,OBC,7.24,58606.0,20.930714285714284,6.8,0.0,2.0,6.12,6.18,7.24,7.44,6.63,5.0,3.0,2.0,5.0,0.0,5.0
CIVIL,91.67,70.6,Male,CBSE,CBSE,OBC,7.12,35544.0,12.694285714285714,7.13,0.0,0.0,6.47,6.82,6.88,7.5,8.0,5.0,3.0,2.0,5.0,0.0,5.0
CIVIL,84.6,86.0,Female,ICSE,ICSE,GEN,8.06,25134.0,8.976428571428572,7.78,0.0,1.0,6.88,7.53,8.06,8.19,8.0,3.0,1.0,2.0,3.0,0.0,5.0
CIVIL,70.0,71.0,Male,CBSE,CBSE,GEN,6.71,37300.0,13.321428571428571,6.82,0.0,1.0,7.06,6.18,6.97,6.76,7.31,4.0,3.0,1.0,4.0,0.0,0.0
CIVIL,93.4,63.0,Male,CBSE,CBSE,GEN,6.65,36857.0,13.163214285714286,6.73,0.0,2.0,6.41,6.47,6.82,7.06,6.94,0.0,0.0,0.0,0.0,0.0,0.0
CIVIL,74.8,75.6,Male,BSEB,BSEB,GEN,7.94,29807.0,10.645357142857144,8.05,0.0,0.0,7.41,7.18,7.71,9.06,9.12,3.0,2.0,1.0,3.0,0.0,0.0
CIVIL,61.0,56.8,Male,BSEB,NIOS,SC,6.41,67610.375,23.851026785714282,6.56,0.0,4.0,6.0,5.82,6.47,7.13,7.38,5.0,0.0,4.0,1.0,2.5,0.0
CIVIL,93.0,80.0,Male,ICSE,CBSE,GEN,6.94,31665.0,11.308928571428572,6.626,0.0,2.0,6.12,6.47,6.35,7.25,6.81,5.0,0.0,4.0,1.0,2.5,0.0
CIVIL,79.17,81.4,Male,ICSE,CBSE,GEN,7.76,55832.0,19.94,8.5,0.0,0.0,7.65,7.88,8.94,9.38,9.38,5.0,0.0,4.0,1.0,2.5,0.0
CSE,81.0,70.0,Male,CBSE,CBSE,GEN,6.82,46717.0,16.684642857142858,6.82,0.0,5.0,6.29,6.41,6.24,7.25,7.63,5.0,0.0,4.0,1.0,2.5,0.0
CSE,92.83,82.4,Male,CBSE,CBSE,OBC,8.35,67610.375,23.851026785714282,8.18,0.0,0.0,8.18,7.88,7.53,8.44,8.75,3.0,2.0,1.0,3.0,0.0,0.0
CSE,83.4,63.0,Male,CBSE,CBSE,GEN,6.35,18985.0,6.7803571428571425,6.52,0.0,5.0,6.18,6.18,6.23,6.44,6.56,3.0,2.0,1.0,3.0,0.0,0.0
CSE,86.6,77.8,Male,CBSE,BSEB,GEN,6.47,25716.0,9.184285714285714,6.58,0.0,5.0,6.35,6.12,6.24,6.44,7.25,7.0,4.0,3.0,7.0,0.0,0.0
CSE,80.8,64.6,Male,ICSE,CBSE,GEN,6.76,40842.0,14.586428571428572,6.5,0.0,5.0,6.29,6.31,6.76,6.41,6.5,4.0,1.0,3.0,4.0,0.0,0.0
CSE,89.0,83.0,Female,CBSE,CBSE,OBC,8.0,33700.0,12.035714285714286,7.96,0.0,0.0,7.59,7.82,7.47,8.25,8.69,4.0,2.0,2.0,4.0,0.0,0.0
CSE,66.0,61.33,Male,ICSE,BSEB,OBC,8.12,48292.0,17.247142857142858,7.86,0.0,0.0,7.71,7.06,7.53,8.0,8.75,5.0,4.0,1.0,4.0,0.0,0.0
CSE,79.6,83.0,Male,UP Board,CBSE,GEN,7.24,32024.0,11.437142857142858,6.65,0.0,3.0,7.12,6.55,6.48,6.31,6.19,4.0,3.0,1.0,1.0,2.5,0.0
CSE,91.0,82.0,Male,CBSE,CBSE,GEN,7.12,26102.0,9.322142857142858,6.54,0.0,2.0,6.35,6.0,6.18,6.75,6.81,6.0,3.0,3.0,6.0,0.0,0.0
CSE,93.86,92.83,Male,ICSE,ICSE,GEN,8.59,17565.0,6.273214285714285,8.14,0.0,0.0,7.88,7.18,7.65,8.56,9.0,6.0,3.0,3.0,6.0,0.0,0.0
CSE,94.8,90.8,Male,CBSE,CBSE,GEN,7.53,20988.0,7.4957142857142856,7.36,0.0,0.0,7.0,6.71,7.18,8.25,7.5,3.0,1.0,2.0,3.0,0.0,0.0
CSE,96.2,85.6,Male,CBSE,CBSE,GEN,7.24,28856.0,10.305714285714286,7.52,0.0,0.0,7.12,7.41,7.06,8.0,8.31,4.0,4.0,0.0,3.0,1.0,0.0
CSE,75.8,72.33,Female,CBSE,State Board,ST,6.47,67610.375,23.851026785714282,6.9,0.0,5.0,6.53,7.0,6.06,7.19,7.93,0.0,0.0,0.0,0.0,0.0,0.0
CSE,95.0,79.8,Male,ICSE,CBSE,GEN,8.06,23949.0,8.553214285714287,8.48,0.0,0.0,8.53,8.12,7.65,9.25,9.31,0.0,0.0,0.0,0.0,0.0,0.0
CSE,86.0,90.0,Female,ICSE,CBSE,GEN,7.53,28384.0,10.137142857142857,7.52,0.0,0.0,7.0,7.4,6.9,8.0,8.31,4.0,2.0,2.0,4.0,0.0,0.0
CSE,95.6,80.6,Female,CBSE,CBSE,GEN,8.29,26005.0,9.2875,8.77,0.0,0.0,8.41,8.94,8.41,9.13,9.5,6.0,2.0,4.0,0.0,2.5,0.0
CSE,95.4,81.8,Female,CBSE,CBSE,GEN,8.59,52657.0,18.80607142857143,8.68,0.0,0.0,7.82,8.76,8.41,9.0,9.5,6.0,2.0,4.0,0.0,2.5,0.0
CSE,89.8,71.8,Female,CBSE,CBSE,GEN,7.94,28764.0,10.272857142857143,7.54,0.0,0.0,7.76,6.94,7.06,7.75,8.0,0.0,0.0,0.0,0.0,2.5,0.0
CSE,90.4,73.16,Male,CBSE,CBSE,GEN,6.6,40000.0,14.285714285714286,6.5,0.0,5.0,6.48,6.0,6.31,6.625,6.94,4.0,3.0,1.0,2.0,2.0,0.0
CSE,96.6,82.4,Female,CBSE,CBSE,OBC,8.41,46737.0,16.691785714285714,7.95,0.0,0.0,7.94,7.06,7.47,7.81,9.06,4.0,1.0,3.0,4.0,0.0,0.0
CSE,89.4,83.4,Female,CBSE,CBSE,OBC,7.71,67610.375,23.851026785714282,7.93,0.0,0.0,7.65,7.35,7.18,8.63,9.19,1.0,1.0,0.0,1.0,0.0,0.0
CSE,93.0,70.0,Male,CBSE,CBSE,GEN,6.3,29203.0,10.429642857142857,6.12,0.0,3.0,5.76,6.35,6.0,6.25,6.06,4.0,2.0,2.0,4.0,0.0,0.0
CSE,92.2,76.6,Male,CBSE,CBSE,GEN,6.88,25768.0,9.202857142857143,6.54,0.0,1.0,6.47,6.17,6.45,6.75,6.69,3.0,2.0,2.0,0.0,2.5,0.0
CSE,86.5,92.6,Male,Andhra Pradesh Board,Andhra Pradesh Board,GEN,6.65,19925.0,7.116071428571429,7.01,0.0,0.0,6.71,6.76,6.53,7.38,8.0,2.0,1.0,1.0,2.0,0.0,0.0
CSE,94.0,91.0,Female,ICSE,ICSE,GEN,8.71,36742.0,13.122142857142856,8.95,0.0,0.0,8.88,9.0275,8.41,9.19,9.56,5.0,1.0,4.0,5.0,0.0,0.0
CSE,86.0,90.0,Male,RBSE,CBSE,GEN,8.12,27592.0,9.854285714285714,7.85,0.0,0.0,7.71,7.23,7.47,8.25,8.31,1.0,1.0,4.0,1.0,0.0,0.0
CSE,91.6,88.0,Female,CBSE,CBSE,GEN,8.59,25422.0,9.079285714285714,8.58,0.0,0.0,8.65,8.82,7.88,8.94,8.875,3.0,0.0,3.0,3.0,0.0,0.0
CSE,86.5,81.5,Male,CBSE,CBSE,GEN,7.53,45479.0,16.2425,7.43,0.0,0.0,7.53,6.88,6.53,7.65,7.875,7.0,4.0,3.0,6.0,1.0,0.0
CSE,90.0,86.0,Male,ICSE,ICSE,GEN,6.5,23007.0,8.216785714285715,6.02,0.0,5.0,6.2,6.2,4.932500000000001,6.2,6.06,5.0,1.0,4.0,5.0,0.0,0.0
CSE,90.2,72.4,Male,CBSE,CBSE,GEN,7.06,24066.0,8.595,6.8,0.0,0.0,6.41,6.06,6.47,7.06,7.75,3.0,2.0,1.0,2.0,1.0,0.0
CSE,89.8,84.0,Male,CBSE,CBSE,GEN,6.94,18436.0,6.5842857142857145,6.91,0.0,0.0,6.65,6.35,6.47,7.63,7.43,4.0,0.0,4.0,4.0,0.0,0.0
CSE,75.0,70.0,Female,CBSE,Other,GEN,5.82,21000.0,7.5,6.5,0.0,5.0,6.06,4.88,5.0,6.5,7.25,1.0,1.0,0.0,1.0,0.0,0.0
CSE,88.4,84.8,Male,CBSE,CBSE,GEN,7.65,52153.0,18.62607142857143,7.65,0.0,2.0,7.65,7.29,6.94,8.0,8.44,5.0,2.0,3.0,5.0,0.0,0.0
CSE,73.8,82.4,Male,CBSE,CBSE,OBC,6.35,48669.0,17.381785714285716,6.45,0.0,4.0,6.47,6.41,6.18,6.88,7.88,1.0,1.0,0.0,1.0,0.0,0.0
CSE,92.6,92.0,Female,CBSE,CBSE,GEN,8.06,32430.0,11.582142857142857,8.18,0.0,0.0,7.18,7.76,7.88,8.88,9.25,3.0,2.0,1.0,1.0,0.0,0.0
CSE,91.33,86.2,Male,CBSE,CBSE,OBC,7.76,48830.0,17.439285714285713,7.86,0.0,0.0,7.88,7.65,7.82,7.94,8.13,4.0,3.0,1.0,4.0,0.0,0.0
CSE,72.0,62.4,Male,CBSE,NIOS,OBC,6.06,67610.375,23.851026785714282,6.06,0.0,5.0,5.82,6.29,6.0,5.56,6.625,5.0,4.0,1.0,1.0,2.5,0.0
CSE,89.8,88.4,Female,CBSE,CBSE,GEN,7.54,22356.0,7.984285714285714,7.6,0.0,1.0,7.12,7.76,7.35,8.32,8.75,0.0,0.0,0.0,0.0,0.0,0.0
CSE,86.67,83.5,Male,CBSE,CBSE,GEN,7.65,19009.0,6.788928571428571,7.01,0.0,0.0,6.65,6.35,6.47,7.94,7.44,5.0,2.0,3.0,4.0,1.0,0.0
CSE,82.4,79.6,Female,CBSE,CBSE,SC,6.71,67610.375,23.851026785714282,7.23,0.0,0.0,6.59,6.35,6.71,7.38,8.93,5.0,2.0,3.0,5.0,0.0,0.0
CSE,93.0,88.0,Female,CBSE,CBSE,GEN,8.12,33982.0,12.13642857142857,8.04,0.0,0.0,7.82,7.35,7.71,8.19,8.62,6.0,4.0,2.0,4.0,2.0,0.0
CSE,81.0,73.4,Male,CBSE,CBSE,GEN,7.06,22018.0,7.863571428571428,7.01,0.0,0.0,7.12,7.0,6.71,6.38,7.81,8.0,3.0,5.0,8.0,0.0,0.0
ECE,92.28,92.67,Male,ICSE,ICSE,GEN,7.94,29181.0,10.421785714285715,7.81,0.0,0.0,7.65,7.82,7.94,7.69,7.88,4.0,3.0,1.0,3.0,1.0,0.0
ECE,89.0,77.0,Male,ICSE,CBSE,GEN,7.18,26086.0,9.316428571428572,6.72,0.0,0.0,7.41,6.47,6.18,6.5,6.44,2.0,1.0,1.0,2.0,0.0,0.0
ECE,77.6,72.4,Male,BSEB,BSEB,GEN,7.59,25865.0,9.2375,7.184,0.0,0.0,7.41,7.35,6.76,6.81,7.19,3.0,2.0,1.0,0.0,2.5,0.0
ECE,94.8,92.6,Female,CBSE,CBSE,GEN,9.12,19850.0,7.089285714285714,9.01,0.0,0.0,9.02625,9.0,8.9925,9.19,9.0,5.0,2.0,3.0,5.0,0.0,0.0
ECE,92.8,90.0,Male,CBSE,CBSE,GEN,8.12,15535.0,5.548214285714286,7.71,0.0,0.0,7.47,7.29,7.94,7.74,7.44,4.0,2.0,2.0,4.0,0.0,0.0
ECE,91.6,83.4,Male,CBSE,CBSE,GEN,7.82,24202.0,8.643571428571429,7.15,0.0,0.0,6.41,6.76,6.94,7.69,7.31,6.0,5.0,1.0,6.0,0.0,0.0
ECE,91.2,85.2,Male,CBSE,CBSE,GEN,7.59,25129.0,8.974642857142857,7.22,0.0,0.0,7.29,6.88,7.12,7.44,7.31,2.0,1.0,1.0,2.0,0.0,0.0
ECE,91.4,74.6,Male,CBSE,CBSE,GEN,6.76,34089.0,12.174642857142857,6.12,0.0,5.0,6.1,6.09,5.95,5.54,5.94,4.0,1.0,3.0,3.0,1.0,0.0
ECE,94.0,85.4,Female,CBSE,CBSE,GEN,8.47,27242.0,9.729285714285714,8.64,0.0,0.0,8.71,8.41,8.53,8.94,8.56,5.0,2.0,3.0,5.0,0.0,0.0
ECE,73.8,69.4,Male,BSEB,CBSE,GEN,7.65,22120.0,7.9,7.5,0.0,0.0,7.0,7.06,7.06,8.25,7.94,2.0,2.0,0.0,1.0,1.0,0.0
ECE,73.0,61.0,Male,BSEB,NIOS,GEN,6.71,26534.0,9.476428571428572,6.35,0.0,0.0,6.59,6.24,6.18,6.63,5.75,8.0,4.0,4.0,5.0,2.5,0.0
ECE,94.4,88.0,Female,CBSE,CBSE,GEN,8.47,23388.0,8.352857142857143,8.51,0.0,0.0,8.59,8.29,8.12,9.06,8.88,6.0,3.0,3.0,6.0,0.0,0.0
ECE,80.06,81.06,Male,BSEB,BSEB,GEN,8.06,32560.0,11.628571428571428,8.63,0.0,0.0,7.82,8.29,8.53,9.31,9.81,3.0,2.0,1.0,3.0,0.0,0.0
ECE,89.3,92.7,Male,State Board,Andhra Pradesh Board,GEN,6.89,13556.0,4.841428571428572,6.98,0.0,0.0,6.29,6.32,6.52,8.25,7.63,3.0,2.0,1.0,3.0,0.0,0.0
ECE,92.4,86.0,Female,CBSE,CBSE,GEN,8.47,17523.0,6.258214285714286,8.12,0.0,0.0,8.12,7.82,8.06,8.13,8.19,3.0,1.0,2.0,3.0,0.0,0.0
ECE,94.0,84.0,Male,CBSE,CBSE,GEN,6.9,22494.0,8.03357142857143,6.5,0.0,2.0,5.9,6.3,6.35,7.1,6.06,3.0,1.0,2.0,3.0,0.0,0.0
ECE,87.57,80.2,Male,ICSE,CBSE,GEN,6.12,30296.0,10.82,6.6,0.0,0.0,6.0,6.12,6.88,7.0,7.5,5.0,4.0,1.0,5.0,0.0,0.0
ECE,90.0,96.5,Male,Maharashtra State Board,Andhra Pradesh Board,GEN,8.29,22578.0,8.063571428571429,8.02,0.0,0.0,7.76,7.76,7.71,8.56,7.13,2.0,1.0,1.0,2.0,0.0,0.0
ECE,93.8,80.8,Male,CBSE,CBSE,GEN,7.65,30324.0,10.83,7.18,0.0,0.0,7.24,6.65,6.94,7.44,7.19,0.0,0.0,0.0,0.0,0.0,0.0
ECE,70.6,76.6,Male,BSEB,BSEB,OBC,7.82,45548.0,16.267142857142858,7.67,0.0,0.0,7.35,7.88,7.24,7.81,7.94,5.0,2.0,3.0,5.0,0.0,0.0
ECE,95.0,82.6,Female,ICSE,CBSE,GEN,7.65,29045.0,10.373214285714285,8.0,0.0,0.0,7.76,7.35,8.0,8.5,8.5,4.0,1.0,3.0,1.0,2.5,0.0
ECE,91.4,87.8,Male,CBSE,Andhra Pradesh Board,GEN,8.24,15349.0,5.4817857142857145,8.3,0.0,0.0,8.26,8.24,8.47,8.25,8.44,4.0,3.0,1.0,3.0,1.0,5.0
ECE,91.2,79.2,Male,CBSE,CBSE,GEN,8.12,22640.0,8.085714285714285,7.09,0.0,1.0,8.29,6.94,6.59,5.81,6.68,6.0,5.0,1.0,6.0,0.0,5.0
ECE,88.8,84.0,Male,CBSE,CBSE,GEN,7.76,23000.0,8.214285714285714,7.642,0.0,0.0,7.82,7.41,7.59,7.63,7.75,2.0,1.0,1.0,2.0,0.0,5.0
ECE,87.7,92.2,Male,State Board,Andhra Pradesh Board,GEN,8.18,15206.0,5.430714285714286,8.17,0.0,0.0,8.24,7.76,8.24,8.44,7.25,6.0,5.0,1.0,6.0,0.0,4.0
ECE,68.2,61.4,Male,State Board,State Board,GEN,6.41,25769.0,9.203214285714285,6.53,0.0,2.0,6.41,6.41,5.882,6.69,6.69,6.0,5.0,1.0,6.0,0.0,4.0
ECE,88.0,90.8,Female,Andhra Pradesh Board,Andhra Pradesh Board,GEN,7.29,20280.0,7.242857142857143,7.1,0.0,0.0,7.0,6.59,6.94,6.63,7.38,7.0,4.0,3.0,5.0,2.0,4.0
ECE,68.6,70.0,Female,BSEB,BSEB,OBC,6.24,33190.0,11.853571428571428,6.233,0.0,5.0,7.0,5.9,6.0,6.31,6.13,2.0,0.0,2.0,1.0,1.0,4.0
ECE,69.8,68.2,Male,CBSE,CBSE,SC,6.29,67610.375,23.851026785714282,6.53,0.0,0.0,6.88,6.29,6.18,6.38,7.19,3.0,1.0,2.0,3.0,0.0,5.0
ECE,68.4,65.8,Male,BSEB,CBSE,GEN,7.88,23040.0,8.228571428571428,7.56,0.0,0.0,7.29,7.41,7.41,7.81,7.69,1.0,1.0,0.0,1.0,0.0,5.0
ECE,73.0,71.6,Male,BSEB,BSEB,OBC,6.82,40092.0,14.31857142857143,7.01,0.0,0.0,6.82,6.94,6.88,7.5,7.13,4.0,1.0,3.0,4.0,0.0,5.0
